fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
8jun15_23apr15_PWD_f2_sp1_10_rev,130,14.1603,0.10925,21,8jun15_23apr15_PWD_f2_sp1_10_rev_21,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,118,3.9284,0.033334,25,8jun15_23apr15_PWD_f2_sp1_10_rev_25,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,167,9.947,0.05956,28,8jun15_23apr15_PWD_f2_sp1_10_rev_28,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,108,5.1544,0.047764,29,8jun15_23apr15_PWD_f2_sp1_10_rev_29,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,100,8.6465,0.086375,32,8jun15_23apr15_PWD_f2_sp1_10_rev_32,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,127,7.492,0.05912,35,8jun15_23apr15_PWD_f2_sp1_10_rev_35,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,45,0.67797,0.015205,37,8jun15_23apr15_PWD_f2_sp1_10_rev_37,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,54,3.6929,0.068882,40,8jun15_23apr15_PWD_f2_sp1_10_rev_40,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,74,12.0627,0.16212,41,8jun15_23apr15_PWD_f2_sp1_10_rev_41,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,88,3.2525,0.036782,3,8jun15_23apr15_PWD_f2_sp1_13_rev_3,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,75,6.4446,0.085547,6,8jun15_23apr15_PWD_f2_sp1_13_rev_6,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,49,6.6482,0.13595,11,8jun15_23apr15_PWD_f2_sp1_13_rev_11,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,68,5.9646,0.087941,14,8jun15_23apr15_PWD_f2_sp1_13_rev_14,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,49,7.0298,0.14399,15,8jun15_23apr15_PWD_f2_sp1_13_rev_15,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,91,4.6902,0.05129,16,8jun15_23apr15_PWD_f2_sp1_13_rev_16,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,57,10.4006,0.18374,19,8jun15_23apr15_PWD_f2_sp1_13_rev_19,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,67,4.7868,0.071836,20,8jun15_23apr15_PWD_f2_sp1_13_rev_20,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,57,4.3279,0.076161,25,8jun15_23apr15_PWD_f2_sp1_13_rev_25,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_13_rev,58,6.3051,0.10882,28,8jun15_23apr15_PWD_f2_sp1_13_rev_28,0,,,,,,,,
