"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","avergeRED","numberCrossOvers","boxNumber","foci_ABS_Position_1","Obj.ID","mouse","strain","subsp","sex","category","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes"
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",102,14.4481,0.14138,0.61643,9,4,5,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_4","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",73,5.4224,0.074617,0.5986,2,5,9,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_5","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",64,4.6267,0.072518,0.58216,1,7,34,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_7","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",80,6.4886,0.081605,0.60688,9,8,5,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_8","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",64,5.9155,0.092174,0.59125,6,1,6,"12oct18_26sep18_CZECH_m1_sp1_12_rev_1","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",79,6.4924,0.082576,0.59254,9,10,6,"12oct18_26sep18_CZECH_m1_sp1_12_rev_10","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",93,4.5345,0.048851,0.52149,6,13,7,"12oct18_26sep18_CZECH_m1_sp1_12_rev_13","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",96,5.547,0.057947,0.58425,10,14,5,"12oct18_26sep18_CZECH_m1_sp1_12_rev_14","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",75,4.965,0.066577,0.52231,8,15,5,"12oct18_26sep18_CZECH_m1_sp1_12_rev_15","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12_rev",71,3.5484,0.050005,0.55569,4,17,4,"12oct18_26sep18_CZECH_m1_sp1_12_rev_17","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
