return5,fileName,boxNumber,centromere,SC length,rank,chrm.class,hand.foci.count,F1,F2,F3,notes,,
,28jul15_22jun15_G_m2_sp1_19_rev,blob3,,79.545,,autosome,1,59.149,,,,,
,1mar16_3jan16_G_m2_sp1_19.3_rev,blob2,,61.052,,autosome,1,58.981,,,,,
,28jul15_22jun15_G_m2_sp1_19_rev,blob17,,74.762,,autosome,1,58.879,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob13,,78.02,,autosome,1,58.774,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob14,,82.183,,autosome,1,58.686,,,,,
,4dec14_8oct14_PWD_f1_sp1_16_rev,blob18,,79.594,,autosome,1,58.589,,,SC signal is faint,,
,27oct16_31aug16_MSM_m1_sp1_18_rev,blob17,,73.276,,autosome,1,57.828,,,,,
,12jan17_4jan17_LEW_f1_sp1_22_rev,blob10,,108.246,,autosome,1,57.673,,,,,
,7feb17_20dec16_LEW_m2_sp1_20_rev,blob20,,74.309,,autosome,1,57.668,,,,,
,22nov16_13nov16_MSM_f2_sp1_19,blob_4,,86.881,,autosome,1,57.663,,,,,
,20jul15_18may15_PWD_m1_sp1_2.2_rev,blob14,,97.499,,autosome,1,57.598,,,,,
,15sep15_16jun15_WSB_f3_sp2_1_rev,blob9,,142.19,,autosome,1,57.386,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob6,,60.121,,autosome,1,57.33,,,,,
,7feb17_20dec16_LEW_m2_sp1_20_rev,blob19,,68.738,,autosome,1,57.258,,,,,
,27oct16_31aug16_MSM_m1_sp1_11,blob_9,,81.544,,autosome,1,57.194,,,,,
,7feb17_20dec16_LEW_m2_sp1_20_rev,blob5,,67.302,,autosome,1,57.092,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob20,,70.953,,autosome,1,57.079,,,,,
,27oct16_31aug16_MSM_m1_sp1_19,blob_19,,80.914,,autosome,1,56.835,,,,,
,27jul15_22jun15_G_m2_sp1_8_rev,blob7,,80.368,,autosome,1,56.829,,,,,
,2aug15_8jun15_G_f4_sp1_18_rev,blob15,,77.228,,autosome,1,56.813,,,,,
,27jul15_22jun15_G_m2_sp1_8_rev,blob19,,91.576,,autosome,1,56.532,,,,,
,3aug17_8may17_LEW_m2_sp1_5_rev,blob1,,58.544,,autosome,1,55.981,,,,,
,30jul15_12jun15_WSB_m2_sp1_3_rev,blob2,,61.403,,autosome,1,55.836,,,,,
,1mar16_3jan16_G_m2_sp1_19.3_rev,blob14,,79.319,,autosome,1,55.667,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob2,,96.188,,autosome,1,55.483,,,,,
,30mar15_13oct14_G_f1_sp1_1.1_rev,blob20,,107.422,,autosome,1,55.464,,,,,
,1mar16_3jan16_G_m2_sp1_19.3_rev,blob3,,59.437,,autosome,1,55.318,,,,,
,5aug17_14jul17_LEW_f1_sp1_11_rev,blob14,,78.338,,autosome,1,55.302,,,,,
,2apr15_14sep14_WSB_f1_sp1_15_rev,blob10,,73.492,,autosome,1,55.132,,,,,
,12jan17_4jan17_LEW_f1_sp1_22_rev,blob2,,60.491,,autosome,1,54.863,,,,,
,27oct16_31aug16_MSM_m1_sp1_11,blob_18,,68.685,,autosome,1,54.772,,,,,
,14oct16_30jun16_CAST_m3_sp1_3.2,blob_7,,73.27,11,autosome,1,54.748,,,,,
,2aug15_8jun15_G_f4_sp1_18_rev,blob1,,106.178,,autosome,1,54.365,,,,,
,8jun15_23apr15_PWD_f2_sp1_20_rev,blob6,,90.112,,autosome,1,54.357,,,,,
,4dec14_8oct14_PWD_f1_sp1_16_rev,blob19,,91.422,,autosome,1,54.117,,,,,
,28jul15_22jun15_G_m2_sp1_19_rev,blob7,,101.418,,autosome,1,53.989,,,,,
,15sep15_16jun15_WSB_f3_sp2_1_rev,blob14,,83.674,,autosome,1,53.599,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob8,,71.038,,autosome,1,53.498,,,,,
,30jul15_12jun15_WSB_m2_sp1_7.2_rev,blob9,,59.682,,autosome,1,53.269,,,,,
,30jul15_12jun15_WSB_m2_sp1_7.2_rev,blob8,,61.451,,autosome,1,53.255,,,,,
,28jul15_22jun15_G_m2_sp1_3_rev,blob16,,67.007,,autosome,1,53.088,,,,,
,12jan17_4jan17_LEW_f1_sp1_22_rev,blob6,,66.662,,autosome,1,53.014,,,,,
,30mar15_13oct14_G_f1_sp1_1.1_rev,blob6,,94.025,,autosome,1,52.955,,,,,
,28jul15_22jun15_G_m2_sp1_3_rev,blob19,,68.956,,autosome,1,52.671,,,,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_17,,67.38,,autosome,1,52.634,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob12,,75.316,,autosome,1,52.593,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob1,,69.657,,autosome,1,52.53,,,,,
,18mar15_10mar15_WSB_m1_sp1_13_rev,blob10,,62.525,,autosome,1,52.518,,,,,
,22nov16_30sep16_MSM_f2_sp1_22_rev,blob14,,89.04,,autosome,1,52.429,,,,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob6,,92.777,,autosome,1,52.418,,,,,
,3aug17_8may17_LEW_m2_sp1_3_rev,blob1,,60.451,,autosome,1,52.38,,,,,
,22nov16_30sep16_MSM_f2_sp1_13.1_rev,blob7,,78.673,,autosome,1,52.172,,,,,
,22nov16_30sep16_MSM_f2_sp1_13.1_rev,blob19,,73.465,,autosome,1,52.086,,,,,
,18mar15_10mar15_WSB_m1_sp1_13_rev,blob8,,57.987,,autosome,1,52.026,,,,,
,27oct16_31aug16_MSM_m1_sp1_19,blob_16,,66.924,,autosome,1,52.006,,,,,
,27oct16_31aug16_MSM_m1_sp1_19,blob_10,,82.114,,autosome,1,51.898,,,,,
,14oct16_30jun16_CAST_m3_sp1_3.2,blob_6,,54.275,17,autosome,1,51.889,,,,,
,3aug17_8may17_LEW_m2_sp1_3_rev,blob4,,71.387,,autosome,1,51.694,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob6,,78.562,,autosome,1,51.543,,,,,
,20jul15_18may15_PWD_m1_sp1_2.2_rev,blob15,,62.33,,autosome,1,51.44,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob14,,62.668,,autosome,1,51.415,,,,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob18,,109.572,,autosome,1,51.314,,,,,
,20jul15_18may15_PWD_m1_sp1_6.1_rev,blob12,,98.1,,autosome,1,51.224,,,,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_15,,58.801,,autosome,1,50.766,,,,,
,29nov16_13nov16_MSM_f1_sp1_24.1_rev,blob4,,100.834,,autosome,1,50.699,,,,,
,22nov16_13nov16_MSM_f2_sp1_18,blob_1 ,,97.13,,autosome,1,50.596,,,,,
,27jul15_22jun15_G_m2_sp1_8_rev,blob17,,80.576,,autosome,1,50.57,,,,,
,28jul15_22jun15_G_m2_sp1_19_rev,blob1,,101.276,,autosome,1,50.395,,,maybe 2CO,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob7,,89.403,,autosome,1,50.37,,,,,
,30jul15_12jun15_WSB_m2_sp1_3_rev,blob12,,57.295,,autosome,1,50.29,,,,,
,18mar15_10mar15_WSB_m1_sp1_13_rev,blob1,,52.935,,autosome,1,50.184,,,,,
16 of 20,29nov16_13nov16_MSM_f1_sp1_5,blob_8,,74.937,,autosome,1,50.114,,,,,
,30jul15_12jun15_WSB_m2_sp1_3_rev,blob4,,70.962,,autosome,1,50.069,,,,,
,27oct16_31aug16_MSM_m1_sp1_9_rev,blob7,,58.44,,autosome,1,50.048,,,,,
,5aug17_14jul17_LEW_f1_sp1_11_rev,blob13,,114.373,,autosome,1,49.994,,,,,
,22mar15_10mar15_PWD_m2_sp1_15_rev,blob19,,54.769,,autosome,1,49.977,,,,,
,5aug17_14jul17_LEW_f1_sp1_11_rev,blob8,,83.471,,autosome,1,49.919,,,,,
