fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,Obj.ID,mouse,category,strain,sex,subsp
20jul15_18may15_PWD_m2_sp1_15.1_rev,89,5.5433,0.062627,0.65488,5,4,20jul15_18may15_PWD_m2_sp1_15.1_rev_4,1,0,0,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_4,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,98,5.3537,0.054357,0.69045,5,5,20jul15_18may15_PWD_m2_sp1_15.1_rev_5,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_5,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,67,4.5078,0.067701,0.76439,3,7,20jul15_18may15_PWD_m2_sp1_15.1_rev_7,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_7,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,97,4.9724,0.051119,0.64816,2,8,20jul15_18may15_PWD_m2_sp1_15.1_rev_8,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_8,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.1_rev,65,4.0203,0.061688,0.67185,3,9,20jul15_18may15_PWD_m2_sp1_15.1_rev_9,1,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.1_rev_9,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,56,6.2795,0.11223,0.68885,3,1,20jul15_18may15_PWD_m2_sp1_15.2_rev_1,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_1,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,105,3.3321,0.031716,0.70139,7,10,20jul15_18may15_PWD_m2_sp1_15.2_rev_10,1,0,0,,1,77,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,125,5.0162,0.040211,0.64989,6,11,20jul15_18may15_PWD_m2_sp1_15.2_rev_11,1,0,0,,2,27,119,,20jul15_18may15_PWD_m2_sp1_15.2_rev_11,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,104,6.581,0.063091,0.65612,4,12,20jul15_18may15_PWD_m2_sp1_15.2_rev_12,1,0,0,,2,21,100,,20jul15_18may15_PWD_m2_sp1_15.2_rev_12,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,98,8.7159,0.088534,0.66901,10,13,20jul15_18may15_PWD_m2_sp1_15.2_rev_13,1,0,0,,1,55,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_13,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,78,5.8454,0.074652,0.66432,4,16,20jul15_18may15_PWD_m2_sp1_15.2_rev_16,1,0,0,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_16,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,150,3.375,0.022557,0.69199,7,18,20jul15_18may15_PWD_m2_sp1_15.2_rev_18,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_18,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,83,7.7238,0.093243,0.80872,11,3,20jul15_18may15_PWD_m2_sp1_15.2_rev_3,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_3,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,139,6.7732,0.048711,0.68978,7,4,20jul15_18may15_PWD_m2_sp1_15.2_rev_4,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_4,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,52,2.5954,0.049593,0.69064,3,5,20jul15_18may15_PWD_m2_sp1_15.2_rev_5,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_5,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,35,5.4829,0.15801,0.62593,3,6,20jul15_18may15_PWD_m2_sp1_15.2_rev_6,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_6,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_15.2_rev,28,4.8976,0.17396,0.66157,1,8,20jul15_18may15_PWD_m2_sp1_15.2_rev_8,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_15.2_rev_8,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_16.2_rev,96,8.7393,0.091479,0.62967,4,1,20jul15_18may15_PWD_m2_sp1_16.2_rev_1,1,0,0,,2,29,86,,20jul15_18may15_PWD_m2_sp1_16.2_rev_1,18may15_PWD_m2,PWD male,PWD,male,Musc
