fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,foci_ABS_Position_1,mouse,strain,sex,category,Obj.ID
26jan18_11jan18_KAZ_m3_sp1_17_rev,97,2.807,0.028837,0.50222,5,12,26jan18_11jan18_KAZ_m3_sp1_17_rev_12,1,0,0,,2,39,91,,39,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_12
26jan18_11jan18_KAZ_m3_sp1_17_rev,57,5.8475,0.10293,0.56787,1,13,26jan18_11jan18_KAZ_m3_sp1_17_rev_13,1,1,1,,1,55,,,55,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_13
26jan18_11jan18_KAZ_m3_sp1_17_rev,78,4.9878,0.064149,0.49758,4,14,26jan18_11jan18_KAZ_m3_sp1_17_rev_14,1,0,0,,1,64,,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_14
26jan18_11jan18_KAZ_m3_sp1_17_rev,102,2.4615,0.024189,0.57482,7,15,26jan18_11jan18_KAZ_m3_sp1_17_rev_15,1,,,faint foci,,,,,5,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_15
26jan18_11jan18_KAZ_m3_sp1_17_rev,82,3.4783,0.042372,0.50741,8,17,26jan18_11jan18_KAZ_m3_sp1_17_rev_17,1,,,faint foci,,,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_17
26jan18_11jan18_KAZ_m3_sp1_17_rev,62,2.7119,0.043741,0.49435,6,19,26jan18_11jan18_KAZ_m3_sp1_17_rev_19,0,,,kink,,,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_19
26jan18_11jan18_KAZ_m3_sp1_17_rev,61,5.6585,0.092269,0.60425,5,3,26jan18_11jan18_KAZ_m3_sp1_17_rev_3,1,,,faint foci,,,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_3
26jan18_11jan18_KAZ_m3_sp1_17_rev,102,2.7027,0.026459,0.58836,8,5,26jan18_11jan18_KAZ_m3_sp1_17_rev_5,1,0,0,,1,17,,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_5
26jan18_11jan18_KAZ_m3_sp1_17_rev,74,5.0976,0.068831,0.56264,9,6,26jan18_11jan18_KAZ_m3_sp1_17_rev_6,,,,,,,,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_6
26jan18_11jan18_KAZ_m3_sp1_17_rev,78,0.58824,0.0075263,0.58577,6,7,26jan18_11jan18_KAZ_m3_sp1_17_rev_7,1,,,,1,62,,,7,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_7
