fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,mouse,strain,sex,category
20jul15_18may15_PWD_m1_sp1_28_rev,5.6831,0.064711,0.803,88,2,3,20jul15_18may15_PWD_m1_sp1_28_rev_3,1,1,,,2,29,74,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,4.171,0.14209,0.81114,29,1,4,20jul15_18may15_PWD_m1_sp1_28_rev_4,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,11.0926,0.14567,0.74902,76,3,5,20jul15_18may15_PWD_m1_sp1_28_rev_5,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,5.1429,0.059167,0.73838,87,1,6,20jul15_18may15_PWD_m1_sp1_28_rev_6,1,1,,,1,66,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,3.125,0.034139,0.81184,92,1,7,20jul15_18may15_PWD_m1_sp1_28_rev_7,1,1,,,1,58,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,3.3141,0.049951,0.66041,66,2,9,20jul15_18may15_PWD_m1_sp1_28_rev_9,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_29.1_rev,3.4298,0.035314,0.6096,97,2,11,20jul15_18may15_PWD_m1_sp1_29.1_rev_11,1,1,1,,2,29,88,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_29.1_rev,2.7869,0.13426,0.69105,21,3,13,20jul15_18may15_PWD_m1_sp1_29.1_rev_13,,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_29.1_rev,1.7157,0.013413,0.63103,128,2,14,20jul15_18may15_PWD_m1_sp1_29.1_rev_14,,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_29.1_rev,2.7779,0.06793,0.60589,41,5,16,20jul15_18may15_PWD_m1_sp1_29.1_rev_16,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
