,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
,5jun18_21may18_KAZ_m2_sp1_11_rev.tif,5109-25270-584.tif,2,20,22,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_7.1_rev.tif,6316-9092-20354.tif,3,20,22,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_20_rev.tif,7626-3663-5134.tif,5,20,22,no,yes,1,0,signal not the best
,25jun18_8jun18_SPIC_m2_sp1_1.2_rev.tif,7954-13350-23279.tif,4,20,22,no,yes,1,0,
,9mar18_13oct17_SPRET_m1_sp1_3.1_rev.tif,9163-12483-28464.tif,4,20,22,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_6_rev.tif,10995-16235-8828.tif,4,20,22,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_23_rev.tif,3188-16269-22150.tif,4,20,22,no,yes,2,0,
,13sep18_28jun18_MOLF_m1_sp1_15_rev.tif,13342-24482-10273.tif,3,20,22,no,yes,2,0,
,5jun18_21may18_KAZ_m2_sp1_3_rev.tif,20612-27176-32166.tif,3,20,22,no,yes,1,0,
,27jun18_8jun18_AST_m1_sp1_16_rev.tif,8262-7420-17013.tif,4,20,22,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_5.3_rev.tif,10335-1094-30058.tif,4,20,22,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_17.2_rev.tif,11824-31481-16325.tif,2,20,22,no,yes,0,0,
,28jul17_30may17_SPRET_m1_sp1_4.2_rev.tif,12398-16603-24791.tif,2,20,22,no,yes,2,0,
,3mar15_13jan17_LEW_m1_sp1_10_rev.tif,12416-14236-6529.tif,4,20,22,no,yes,1,0,1 chrms covered up
,27jun18_8jun18_AST_m1_sp1_14.2_rev.tif,14187-4242-14962.tif,3,20,22,no,yes,1,0,
,29aug18_30oct17_HMI_m1_sp3_6_rev.tif,17203-14215-7808.tif,5,20,22,no,yes,1,0,
,22jun18_24aug17_PERC_m1_sp1_15_rev.tif,19216-28159-18000.tif,2,20,22,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_17_rev.tif,19982-18135-29532.tif,1,20,22,no,yes,0,0,
,3jul18_19may18_KAZ_m1_sp1_11_rev.tif,21176-31837-20898.tif,2,20,22,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_22_rev.tif,2177-18082-30982.tif,4,20,22,no,yes,1,0,
,27jun18_8jun18_AST_m1_sp1_19_rev.tif,23085-10703-10492.tif,3,20,22,no,yes,0,0,
,3jul18_19may18_KAZ_m1_sp1_9_rev.tif,24873-21536-17784.tif,3,20,22,no,yes,1,0,
,29aug18_30oct17_HMI_m1_sp3_13_rev.tif,30216-9437-12766.tif,4,20,22,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_10_rev.tif,31094-659-12705.tif,1,20,22,no,yes,0,0,
,3jul18_19may18_KAZ_m1_sp1_24_rev.tif,31192-19471-21366.tif,1,20,22,no,yes,1,0,
,20apr18_18feb18_LEW_m3_sp2_3_rev.tif,32427-12776-6018.tif,1,20,22,no,yes,0,1,potential duplicate
,25jun18_8jun18_SPIC_m2_sp1_3_rev.tif,8025-16511-11965.tif,3,20,22,no,yes,0,0,bad signal
,21jun18_18feb18_LEW_m3_sp2_13_rev.tif,9192-18931-20385.tif,4,20,22,no,yes,2,0,
,29aug18_7aug18_AST_m1_sp1_27.2_rev.tif,9480-14093-16598.tif,3,20,22,no,yes,1,0,
,9jun18_8may17_LEW_m1_sp1_11_rev.tif,9798-14155-27279.tif,1,20,22,no,yes,1,0,
,13sep18_28jun18_MOLF_m1_sp1_13.1_rev.tif,14441-31488-485.tif,3,20,23,no,yes,1,0,
,3sep18_27aug18_HMI_m1_sp1_28.1_rev.tif,1450-31357-8511.tif,2,20,23,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_27_rev.tif,15156-20072-7903.tif,3,20,23,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_19.1_rev.tif,17340-23023-18657.tif,1,20,23,no,yes,0,0,
,29aug18_7aug18_AST_m1_sp1_13_rev.tif,18280-13685-17604.tif,3,20,23,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_15_rev.tif,18953-27194-9566.tif,3,20,23,no,yes,1,0,
,22jun18_24aug17_PERC_m1_sp1_27.1_rev.tif,20882-19419-10035.tif,2,20,23,no,yes,2,0,
,14jun18_11jan18_SPRET_m1_sp1_1_rev.tif,24742-6958-10278.tif,4,20,23,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_29.2_rev.tif,25028-14439-8005.tif,5,20,23,no,yes,3,0,
