Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch17,X,22jul19_26oct18_SKIVE_f3_sp1_20_rev.tif,18349-17582-6506.tif,,,,,,,,
Batch17,X,22jul19_26oct18_SKIVE_f3_sp1_21_rev.tif,29677-26226-9251.tif,,"20,21?",,,,,,
Batch17,X,22jul19_26oct18_SKIVE_f3_sp1_24.1_rev.tif,18856-30797-31313.tif,,,,,,,,
Batch17,X,22jul19_26oct18_SKIVE_f3_sp1_9_rev.tif,25060-26652-9743.tif,,,,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_18_rev.tif,22636-6087-2559.tif,5,20,18,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_19_rev.tif,30440-10283-9308.tif,,,,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_20_rev.tif,22542-31636-28387.tif,5?,20,,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_21_rev.tif,28229-19293-11462.tif,5,20,19,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_23_rev.tif,16169-16916-12616.tif,,,,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_24_rev.tif,18750-10326-20244.tif,5,20,,,,,0,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_33.1_rev.tif,20243-30827-4584.tif,,20,15?,,,5?,0,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_33.2_rev.tif,31442-32288-24453.tif,,20,,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_40_rev.tif,5859-15961-20565.tif,,19?,18,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_6_rev.tif,7062-1318-2079.tif,,20,,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_7_rev.tif,10602-19285-1758.tif,,,,,,,,
Batch17,X,27jul19_26oct18_SKIVE_f2_sp1_8_rev.tif,6232-24539-31978.tif,5,20,23,,,,,
Batch17,X,4nov19_29oct19_MOLF_f1_sp2_22_rev.tif,27287-362-27243.tif,5,19?,,,,,,
Batch17,X,4nov19_29oct19_MOLF_f1_sp2_30_rev.tif,28423-23212-4000.tif,,20,,,,,,
Batch17,X,4nov19_29oct19_MOLF_f1_sp2_33_rev.tif,755-14515-6493.tif,,21?,28,,,1,3,
Batch17,X,4nov19_29oct19_MOLF_f1_sp2_38_rev.tif,21752-6952-2777.tif,"4,5",20,,,,,,
Batch17,X,4nov19_29oct19_MOLF_f1_sp2_50.1_rev.tif,22013-26821-11843.tif,,,,,,,,
Batch17,X,4nov19_29oct19_MOLF_f1_sp2_50.2_rev.tif,10102-21836-23594.tif,5,20,,,,,,
