Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO crop,XY paired,achiasmate,asynased,notes
Batch0,,9aug15_17apr15_PWD_f2_sp1_18.1_rev.tif,21569-21293-1912.tif,2,20,27,no,na,0,0,
Batch0,,7may15_17apr15_PWD_f2_sp1_18_rev.tif,19955-21647-25553.tif,3,20,32,no,na,0,0,
Batch0,,9aug15_17apr15_PWD_f2_sp1_19_rev.tif,31385-18332-10767.tif,3,20,32,no,na,0,0,
Batch0,,9aug15_17apr15_PWD_f2_sp1_23_rev.tif,22452-21966-15945.tif,1,20,26,no,na,0,0,
Batch0,,9aug15_17apr15_PWD_f2_sp1_26_rev.tif,10481-22372-12471.tif,4,20,34,no,na,0,0,
Batch0,,9aug15_17apr15_PWD_f2_sp1_27_rev.tif,9956-27998-20639.tif,3,20,28,no,na,0,0,
Batch0,,9aug15_17apr15_PWD_f2_sp1_30_rev.tif,28835-83-9885.tif,3,20,30,no,na,0,0,several broken SC
Batch0,,9aug15_17apr15_PWD_f2_sp1_31_rev.tif,8416-25374-24579.tif,1,20,26,no,na,0,0,
Batch0,,9aug15_17apr15_PWD_f2_sp1_34_rev.tif,23143-9260-14206.tif,5,20,28,yes,na,0,0,2 broken SC
Batch0,,9aug15_17apr15_PWD_f2_sp1_9_rev.tif,9535-11702-22749.tif,2,20,33,no,na,0,0,some broken SC
Batch0,,30jun15_17apr15_PWD_f3_sp1_11_rev.tif,19595-13282-32031.tif,3,20,32,no,na,0,0,some broken SC
Batch0,,30jun15_17apr15_PWD_f3_sp1_22_rev.tif,19263-17933-14643.tif,5,20,24,no,no,0,0,"broken SC, but bright foci"
Batch0,,30jun15_17apr15_PWD_f3_sp1_33_rev.tif,25995-17771-27941.tif,5,20,25,no,na,0,0,bad Sc
Batch0,,30jun15_17apr15_PWD_f3_sp1_34_rev.tif,2066-2155-15796.tif,4,20,26,no,na,0,0,"great signal, but broken SC"
Batch0,,20may15_17apr15_PWD_f4_sp1_14_rev.tif,12348-31927-15665.tif,4,20,26,no,na,0,0,1 broken SC
Batch0,,20may15_17apr15_PWD_f4_sp1_19_rev.tif,24797-10298-32213.tif,2,20,31,no,na,0,0,
Batch0,,20may15_17apr15_PWD_f4_sp1_25_rev.tif,2567-23401-101.tif,2,20,26,no,na,0,0,
Batch0,,20may15_17apr15_PWD_f4_sp1_26_rev.tif,28668-18373-17965.tif,1,20,36,no,na,0,0,1 SC broken
Batch0,,20may15_17apr15_PWD_f4_sp1_4_rev.tif,31790-21090-6020.tif,2,20,33,no,na,0,0,
Batch0,,27mar16_17mar16_G_f1_sp1_1_rev.tif,30829-17164-2967.tif,2,20,30,no,na,0,0,
Batch0,,27mar16_17mar16_G_f1_sp1_12_rev.tif,29613-7510-3810.tif,2,20,31,no,na,0,0,
Batch0,,27mar16_17mar16_G_f1_sp1_13_rev.tif,21785-16019-26555.tif,3,20,31,no,na,0,0,
Batch0,,27mar16_17mar16_G_f1_sp1_6_rev.tif,30764-24961-21307.tif,3,20,28,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_1_rev.tif,15197-18396-28572.tif,1,20,27,no,no,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_11_rev.tif,10579-28162-23101.tif,2,20,31,no,na,0,0,non-homologus crossing
Batch0,,4apr16_17mar16_G_f3_sp1_13_rev.tif,1060-8797-31961.tif,3,20,32,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_18_rev.tif,4863-1470-31376.tif,2,20,30,no,na,0,0,possible nonhomlog tangle
Batch0,,4apr16_17mar16_G_f3_sp1_2_rev.tif,30810-21446-12248.tif,1,20,29,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_20_rev.tif,8913-4934-18263.tif,1,20,32,n,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_23_rev.tif,28612-27090-7706.tif,2,20,24,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_25_rev.tif,25753-18182-7728.tif,2,20,27,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_26_rev.tif,31953-22087-17606.tif,1,20,32,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_28_rev.tif,14291-21887-16564.tif,1,20,32,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_3_rev.tif,14862-10265-22548.tif,1,20,25,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_31_rev.tif,12373-4532-8773.tif,3,20,30,no,na,0,0,extra SC signal
Batch0,,4apr16_17mar16_G_f3_sp1_39.3_rev.tif,27678-19246-15226.tif,1,20,35,no,na,0,0,nonhomlog tangle
Batch0,,4apr16_17mar16_G_f3_sp1_40_rev.tif,29571-4614-19260.tif,1,20,27,no,na,0,0,nonhomolog tangle
Batch0,,20jul15_18may15_PWD_m2_sp1_8_rev.tif,20472-20153-17016.tif,1,20,32,no,yes,0,0,
Batch0,,17mar15_10mar15_PWD_m2_sp1_13.2_rev.tif,20477-7611-10990.tif,1,20,32,no,yes,0,0,possible non-homlogus tangle
Batch0,,2apr15_28feb15_PWD_f1_sp1_8_rev.tif,2048-15452-29709.tif,1,20,28,no,na,0,0,
Batch0,,27mar16_6mar16_G_m1_sp1_11_rev.tif,20511-14746-6098.tif,1,20,26,no,yes,0,0,
Batch0,,6mar15_1mar15_PWD_m1_sp4_1_rev.tif,2056-10451-31839.tif,5,20?,28,yes,yes,0,0,multiple cells
Batch0,,28jul15_22jun15_G_m2_sp1_2_rev.tif,20587-6611-18693.tif,3,20,23,no,yes,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_5_rev.tif,15204-31627-8079.tif,1,20,29,no,na,0,0,
Batch0,,4apr16_17mar16_G_f3_sp1_7_rev.tif,16137-21311-16156.tif,1,20,32,no,na,0,0,some extra SC noise
Batch0,,4apr16_17mar16_G_f3_sp1_9_rev.tif,16566-28743-30886.tif,3,20,28,no,na,0,0,
Batch0,,4apr16_17mar16_G_f4_sp1_11_rev.tif,15811-10608-29775.tif,3,20,25,no,na,0,0,
Batch0,,4apr16_17mar16_G_f4_sp1_17_rev.tif,27949-11411-3346.tif,2,20,28,no,na,0,0,
Batch0,,4apr16_17mar16_G_f4_sp1_22_rev.tif,31087-3320-495.tif,1,20,32,no,na,0,0,
Batch0,,4apr16_17mar16_G_f4_sp1_28_rev.tif,8309-19004-9550.tif,1,20,33,no,na,0,0,
Batch0,,4apr16_17mar16_G_f4_sp1_32_rev.tif,25670-6386-10784.tif,2,20,25,no,na,0,0,
Batch0,,4apr16_17mar16_G_f4_sp1_9_rev.tif,29371-1985-20190.tif,4,20,22,no,na,0,0,
Batch0,,27mar16_17mar16_G_f5_sp1_4_rev.tif,1038-29185-12184.tif,1,20,27,no,na,0,0,
Batch0,,27mar16_17mar16_G_f5_sp1_8_rev.tif,1649-8508-18504.tif,1,20,30,na,na,0,0,
Batch0,,20jul15_18may15_PWD_m1_sp1_1_rev.tif,10243-32047-52.tif,1,20,31,no,yes,0,0,
