fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,
6mar15_1mar15_PWD_m1_sp4_3_rev,77,3.2268,0.04214,1,6mar15_1mar15_PWD_m1_sp4_3_rev_1,1,0,0,,2,18,61,,
6mar15_1mar15_PWD_m1_sp4_3_rev,125,5.7177,0.045607,10,6mar15_1mar15_PWD_m1_sp4_3_rev_10,1,0,0,,2,44,97,,
6mar15_1mar15_PWD_m1_sp4_3_rev,103,2.5352,0.024513,13,6mar15_1mar15_PWD_m1_sp4_3_rev_13,1,0,0,,2,33,89,,
6mar15_1mar15_PWD_m1_sp4_3_rev,73,7.6644,0.10447,15,6mar15_1mar15_PWD_m1_sp4_3_rev_15,1,1,1,,2,25,65,,
6mar15_1mar15_PWD_m1_sp4_3_rev,72,3.7887,0.05282,2,6mar15_1mar15_PWD_m1_sp4_3_rev_2,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_3_rev,96,4.4523,0.046499,3,6mar15_1mar15_PWD_m1_sp4_3_rev_3,1,0,0,,2,27,78,,
6mar15_1mar15_PWD_m1_sp4_3_rev,75,3.6041,0.048281,4,6mar15_1mar15_PWD_m1_sp4_3_rev_4,1,1,1,,1,65,,,
6mar15_1mar15_PWD_m1_sp4_3_rev,56,3.8161,0.068068,5,6mar15_1mar15_PWD_m1_sp4_3_rev_5,1,1,1,,1,36,,,
6mar15_1mar15_PWD_m1_sp4_3_rev,58,4.6936,0.081194,7,6mar15_1mar15_PWD_m1_sp4_3_rev_7,1,0,0,,1,49,,,
6mar15_1mar15_PWD_m1_sp4_4_rev,106,3.9416,0.037034,1,6mar15_1mar15_PWD_m1_sp4_4_rev_1,1,0,0,,1,15,,,
6mar15_1mar15_PWD_m1_sp4_4_rev,87,4.5917,0.052963,11,6mar15_1mar15_PWD_m1_sp4_4_rev_11,1,0,0,,3,33,47,65,
6mar15_1mar15_PWD_m1_sp4_4_rev,99,3.9908,0.040298,12,6mar15_1mar15_PWD_m1_sp4_4_rev_12,1,0,0,tweak at the end might mess up segmentation,2,20,91,,
6mar15_1mar15_PWD_m1_sp4_4_rev,114,11.2591,0.098513,13,6mar15_1mar15_PWD_m1_sp4_4_rev_13,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_4_rev,101,6.4456,0.064067,14,6mar15_1mar15_PWD_m1_sp4_4_rev_14,1,0,0,faint 3rd foci,2,19,88,,
6mar15_1mar15_PWD_m1_sp4_4_rev,86,5.6146,0.065181,15,6mar15_1mar15_PWD_m1_sp4_4_rev_15,1,0,0,,1,56,,,
6mar15_1mar15_PWD_m1_sp4_4_rev,79,9.2074,0.11612,16,6mar15_1mar15_PWD_m1_sp4_4_rev_16,1,0,0,,1,66,,,
