"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","boxNumber","Obj.ID","SC.pass","foci.pass","curated.1pass.0fail.","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes","mouse","category"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",105,7.8659,0.075062,8,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_8","1","0","","","2","34","103","","","26sep18_CZECH_m1","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_1_rev",116,5.668,0.048699,1,"23jul19_28sep18_CZECH_m2_sp1_1_rev_1","1","0","","","2","40","106","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_1_rev",95,6.2595,0.065807,11,"23jul19_28sep18_CZECH_m2_sp1_1_rev_11","1","0","","","1","92","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_1_rev",87,3.8044,0.04374,13,"23jul19_28sep18_CZECH_m2_sp1_1_rev_13","1","0","","","1","40","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_1_rev",83,4.8378,0.058011,2,"23jul19_28sep18_CZECH_m2_sp1_1_rev_2","1","0","","","1","52","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_1_rev",74,7.3852,0.10037,4,"23jul19_28sep18_CZECH_m2_sp1_1_rev_4","1","0","","","1","18","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_1_rev",54,3.5484,0.065945,7,"23jul19_28sep18_CZECH_m2_sp1_1_rev_7","1","0","","","2","9","34","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",68,2.6866,0.039259,1,"23jul19_28sep18_CZECH_m2_sp1_10_rev_1","1","0","","","1","51","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",53,4.435,0.083,11,"23jul19_28sep18_CZECH_m2_sp1_10_rev_11","1","0","","","1","37","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",93,2.4658,0.026376,13,"23jul19_28sep18_CZECH_m2_sp1_10_rev_13","1","0","","","1","77","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",56,5.483,0.098008,14,"23jul19_28sep18_CZECH_m2_sp1_10_rev_14","1","0","","","1","51","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",90,5.8185,0.064658,15,"23jul19_28sep18_CZECH_m2_sp1_10_rev_15","1","0","","","1","48","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",83,6.2246,0.075345,17,"23jul19_28sep18_CZECH_m2_sp1_10_rev_17","1","1","","","1","73","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",44,5.1147,0.11549,2,"23jul19_28sep18_CZECH_m2_sp1_10_rev_2","1","0","","","0","","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",62,5.5775,0.089687,3,"23jul19_28sep18_CZECH_m2_sp1_10_rev_3","1","0","","","1","41","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",70,4.237,0.060793,4,"23jul19_28sep18_CZECH_m2_sp1_10_rev_4","1","1","","","1","54","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_10_rev",79,7.6531,0.096635,9,"23jul19_28sep18_CZECH_m2_sp1_10_rev_9","1","0","","","1","71","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",93,5.7009,0.061174,1,"23jul19_28sep18_CZECH_m2_sp1_11_rev_1","1","0","","","2","20","63","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",70,4.6227,0.065836,11,"23jul19_28sep18_CZECH_m2_sp1_11_rev_11","1","0","","","2","29","66","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",63,4.0853,0.065116,12,"23jul19_28sep18_CZECH_m2_sp1_11_rev_12","1","0","","","1","42","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",65,2.7273,0.041682,13,"23jul19_28sep18_CZECH_m2_sp1_11_rev_13","1","0","","","1","56","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",106,4.3039,0.040523,14,"23jul19_28sep18_CZECH_m2_sp1_11_rev_14","1","0","","","","","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",93,7.5383,0.080936,15,"23jul19_28sep18_CZECH_m2_sp1_11_rev_15","1","0","","","","","","","","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",96,6.7501,0.070351,16,"23jul19_28sep18_CZECH_m2_sp1_11_rev_16","1","0","","","1","88","","","second foci near cent","28sep18_CZECH_m2","CZECH male"
"23jul19_28sep18_CZECH_m2_sp1_11_rev",83,5.9284,0.07117,19,"23jul19_28sep18_CZECH_m2_sp1_11_rev_19","1","0","","","1","75","","","","28sep18_CZECH_m2","CZECH male"
